                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.8331,                0.88209,                 2.3916,                0.92358,                0.89299,                0.95534,                0.57557,                  2.718,                 1.0257,                 3.2793,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.7632,                0.84712,                   2.39,                0.95614,                0.90148,                0.96749,                0.59031,                 2.6882,                 1.0077,                 3.2436,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.7938,                0.84156,                 2.4092,                0.92331,                0.88964,                 0.9539,                0.57401,                 2.7098,                 1.0517,                 3.2529,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.7131,                0.75022,                 2.3376,                0.93421,                0.90938,                0.96327,                0.57542,                 2.6675,                 1.0476,                 3.2806,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.7038,                 0.7361,                 2.3402,                0.88578,                0.92118,                0.96073,                0.57466,                 2.6783,                 1.0282,                 3.2739,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.6695,                0.72683,                 2.3287,                 0.9805,                0.89163,                0.96262,                0.58158,                  2.708,                 1.0122,                 3.2768,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.6507,                0.67952,                 2.2584,                0.90736,                0.89163,                0.95523,                0.57749,                 2.6987,                 1.0844,                 3.3182,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.6514,                0.69922,                 2.2922,                0.93493,                0.92017,                0.96599,                0.58121,                 2.6699,                 1.0129,                 3.2851,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.6456,                0.70141,                  2.301,                0.93922,                0.91339,                0.96312,                0.57548,                 2.7138,                 1.0531,                 3.3354,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.6814,                0.71632,                 2.2729,                0.90494,                0.93793,                0.97389,                0.58377,                 2.7061,                 1.0296,                   3.34,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.5941,                0.68952,                 2.2481,                0.92145,                0.92465,                0.96715,                0.58112,                 2.6951,                  1.048,                 3.3133,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.6539,                0.69967,                 2.2757,                0.93849,                0.90148,                0.96793,                0.59055,                 2.6991,                 1.0083,                 3.3274,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.5698,                0.69514,                 2.2076,                0.91025,                0.94926,                0.96731,                 0.5892,                 2.7004,                 1.0159,                 3.3254,             1.4209e-05,             1.4209e-05,             1.4209e-05
