epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3520.23,1.25746,0.92982,2.33471,0.90259,0.82602,0.90783,0.66073,2.6586,1.37772,3.74827,0.000445756,0.000445756,0.000445756
113,3551.39,1.20608,0.91149,2.31068,0.85044,0.83759,0.90012,0.6536,2.36742,1.71218,3.50084,0.000434754,0.000434754,0.000434754
114,3582.71,1.28631,1.00058,2.35092,0.89494,0.87857,0.92481,0.6715,2.41746,1.55052,3.47594,0.000423751,0.000423751,0.000423751
115,3613.16,1.23243,0.89876,2.28655,0.90059,0.85474,0.89527,0.65218,2.36485,1.70439,3.47344,0.000412749,0.000412749,0.000412749
116,3644.02,1.201,0.8898,2.30303,0.91362,0.84336,0.90641,0.64863,2.53292,1.4812,3.64519,0.000401747,0.000401747,0.000401747
117,3674.92,1.16212,0.86037,2.24905,0.86082,0.86607,0.89804,0.6603,2.51654,1.52855,3.55402,0.000390745,0.000390745,0.000390745
118,3705.44,1.18141,0.91186,2.2673,0.9258,0.83094,0.89387,0.66333,2.6272,1.78753,3.71804,0.000379743,0.000379743,0.000379743
119,3736.44,1.17863,0.88288,2.28115,0.89989,0.84104,0.87426,0.64971,2.45073,2.30359,3.77237,0.00036874,0.00036874,0.00036874
120,3767.16,1.20023,0.88359,2.29321,0.93331,0.80714,0.8847,0.65947,2.47168,1.89653,3.65612,0.000357738,0.000357738,0.000357738
121,3797.89,1.16889,0.86794,2.295,0.88485,0.84222,0.8732,0.67756,2.33857,2.02255,3.64807,0.000346736,0.000346736,0.000346736
122,3828.76,1.17155,0.8332,2.27852,0.97662,0.7808,0.87258,0.64817,2.54103,1.70114,3.7716,0.000335734,0.000335734,0.000335734
123,3859.86,1.18666,0.85805,2.29459,0.90235,0.84286,0.90939,0.64275,2.86896,1.44031,4.28886,0.000324732,0.000324732,0.000324732
124,3890.55,1.18396,0.84676,2.26019,0.90129,0.86644,0.92074,0.65283,2.7,1.4381,4.22913,0.000313729,0.000313729,0.000313729
125,3920.82,1.18579,0.87991,2.26386,0.89057,0.86971,0.90702,0.65871,2.72944,1.32972,4.0612,0.000302727,0.000302727,0.000302727
126,3952.75,1.15249,0.87617,2.26088,0.8961,0.83026,0.89726,0.66131,2.42929,1.47647,3.7632,0.000291725,0.000291725,0.000291725
127,3983.65,1.1419,0.83737,2.24999,0.84262,0.86505,0.90327,0.64396,2.72936,1.88919,3.90441,0.000280723,0.000280723,0.000280723
128,4014.16,1.16995,0.87262,2.26866,0.94028,0.82982,0.90042,0.65478,2.55368,1.70854,3.81433,0.000269721,0.000269721,0.000269721
129,4044.79,1.13614,0.80977,2.26029,0.92642,0.8372,0.89317,0.66493,2.49434,1.67964,3.63465,0.000258718,0.000258718,0.000258718
130,4076.18,1.13537,0.84753,2.24041,0.90527,0.82656,0.90883,0.67877,2.4894,1.71275,3.76102,0.000247716,0.000247716,0.000247716
131,4107.34,1.11841,0.86017,2.26179,0.93698,0.84086,0.91221,0.67451,2.49565,1.65599,3.98129,0.000236714,0.000236714,0.000236714
132,4137.96,1.10372,0.77925,2.22485,0.92157,0.84046,0.91027,0.65309,2.49822,1.93272,3.84767,0.000225712,0.000225712,0.000225712
133,4168.96,1.13791,0.81277,2.24606,0.94556,0.85024,0.92584,0.66627,2.88519,1.80862,4.0935,0.00021471,0.00021471,0.00021471
134,4199.66,1.10971,0.81063,2.22512,0.93253,0.83663,0.92206,0.65016,2.87578,1.79372,4.23689,0.000203707,0.000203707,0.000203707
135,4230.16,1.1033,0.77502,2.19843,0.9223,0.84441,0.91902,0.64965,3.02468,1.59248,4.37852,0.000192705,0.000192705,0.000192705
136,4260.84,1.11545,0.7851,2.23181,0.95207,0.85263,0.9087,0.65177,2.95548,1.37053,4.41975,0.000181703,0.000181703,0.000181703
137,4291.93,1.0712,0.76057,2.21039,0.91637,0.85319,0.91447,0.66381,2.80686,1.46539,3.97877,0.000170701,0.000170701,0.000170701
138,4322.72,1.06333,0.77174,2.19818,0.94445,0.81845,0.89008,0.66515,2.75179,1.53968,4.05978,0.000159699,0.000159699,0.000159699
139,4354.33,1.07008,0.76413,2.20173,0.94919,0.83589,0.90698,0.66542,2.75093,1.35417,4.20391,0.000148696,0.000148696,0.000148696
140,4385.21,1.07257,0.77066,2.1962,0.96448,0.82708,0.92277,0.66563,2.72745,1.42854,4.06049,0.000137694,0.000137694,0.000137694
141,4417.59,0.70265,0.51446,1.98732,0.88938,0.86779,0.91407,0.67165,2.45604,1.71194,3.65895,0.000126692,0.000126692,0.000126692
142,4448.33,0.65654,0.41677,1.98922,0.92957,0.85536,0.91047,0.69163,2.30371,1.64481,3.46478,0.00011569,0.00011569,0.00011569
143,4479.02,0.62481,0.35376,1.94738,0.92595,0.84292,0.91408,0.6923,2.46518,1.48513,3.59223,0.000104688,0.000104688,0.000104688
144,4509.79,0.61106,0.35597,1.95337,0.94302,0.77815,0.90176,0.6732,2.54151,1.51648,3.63233,9.36854e-05,9.36854e-05,9.36854e-05
145,4540.47,0.59812,0.35842,1.92377,0.89278,0.86726,0.90608,0.68391,2.56131,1.44218,3.64973,8.26832e-05,8.26832e-05,8.26832e-05
146,4570.98,0.61832,0.36659,1.92683,0.90397,0.84345,0.90811,0.68617,2.62728,1.40334,3.75216,7.1681e-05,7.1681e-05,7.1681e-05
147,4601.87,0.59332,0.35075,1.92669,0.94571,0.8539,0.91527,0.67724,2.67782,1.52462,3.79251,6.06788e-05,6.06788e-05,6.06788e-05
148,4632.53,0.59124,0.33649,1.89912,0.92306,0.8519,0.91818,0.68993,2.73983,1.54009,3.93446,4.96766e-05,4.96766e-05,4.96766e-05
149,4663.04,0.58118,0.35739,1.90873,0.93974,0.85536,0.91895,0.68791,2.64032,1.51125,3.8432,3.86744e-05,3.86744e-05,3.86744e-05
150,4693.77,0.56099,0.33084,1.90258,0.92577,0.82265,0.90476,0.68434,2.60756,1.5559,3.77092,2.76722e-05,2.76722e-05,2.76722e-05
